participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,11.0,11.0,"9,6,8,9,10,7,8,20,13,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20p-120.wav,24.0189,25.0,i,20,p,120,150.0
1727,14.0,10.0,"8,9,6,15,14,16,15,14,13,14",h,True,main_files/trial_i/07_i_150hz_75db_250ff-40p-250.wav,20.8106,25.0,i,40,p,250,165.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-10p-120.wav,4.8806,25.0,i,10,p,120,150.0
1727,11.0,4.0,"12,11,10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-40p-40.wav,7.8692,25.0,i,40,p,40,150.0
1727,10.0,2.0,"9,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-40.wav,3.6987,25.0,i,30,n,40,145.0
1727,10.0,7.0,"9,10,11,10,12,9,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-120.wav,13.3219,25.0,i,10,n,120,145.0
1727,10.0,3.0,"8,9,10",l,False,main_files/trial_i/07_i_150hz_75db_250ff-20p-100.wav,5.5943,25.0,i,20,p,100,145.0
1727,11.0,0.0,,l,False,main_files/trial_i/07_i_150hz_75db_250ff-000-120.wav,0.0,25.0,i,0,0,0,150.0
1727,8.0,2.0,"7,8",l,True,main_files/trial_i/07_i_150hz_75db_250ff-40n-250.wav,3.9794,25.0,i,40,n,250,135.0
1727,11.0,4.0,"9,10,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20n-250.wav,8.989,25.0,i,20,n,250,150.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_i/07_i_150hz_75db_250ff-30p-80.wav,4.5789,25.0,i,30,p,80,155.0
1727,9.0,2.0,"8,9",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-80.wav,4.0224,25.0,i,30,n,80,140.0
1727,11.0,0.0,,l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-60.wav,0.0,25.0,i,10,n,60,150.0
1727,11.0,0.0,,l,True,main_files/trial_i/07_i_150hz_75db_250ff-20n-120.wav,0.0,25.0,i,20,n,120,150.0
1727,11.0,5.0,"20,12,11,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20n-80.wav,10.4153,25.0,i,20,n,80,150.0
1727,10.0,3.0,"10,9,10",l,False,main_files/trial_i/07_i_150hz_75db_250ff-30p-120.wav,5.1805,25.0,i,30,p,120,145.0
1727,11.0,0.0,,l,False,main_files/trial_i/07_i_150hz_75db_250ff-20p-80.wav,0.0,25.0,i,20,p,80,150.0
