participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
TimoR,7.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-100.wav,4.6816,di,40,n,100,130.0
TimoR,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-80.wav,2.4827,di,0,0,0,145.0
TimoR,7.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-80.wav,1.7839,di,30,n,80,130.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-120.wav,1.895,di,30,n,120,140.0
TimoR,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-60.wav,1.8992,di,20,p,60,165.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-40.wav,2.3952,di,10,n,40,155.0
TimoR,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-60.wav,4.4849,di,40,p,60,165.0
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-60.wav,0.0,di,0,0,0,150.0
TimoR,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-40.wav,2.1281,di,0,0,0,160.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-100.wav,2.0966,di,20,p,100,140.0
TimoR,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-100.wav,0.0,di,30,n,100,150.0
TimoR,7.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-100.wav,2.084,di,20,n,100,130.0
TimoR,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-40.wav,4.6493,di,30,n,40,145.0
TimoR,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-80.wav,2.5294,di,10,n,80,160.0
TimoR,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-80.wav,5.2821,di,40,p,80,160.0
TimoR,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-100.wav,2.226,di,40,p,100,165.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-100.wav,2.424,di,0,0,0,155.0
TimoR,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-80.wav,2.1293,di,40,n,80,135.0
TimoR,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-120.wav,2.1996,di,20,p,120,145.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-60.wav,1.9867,di,10,p,60,155.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-40.wav,2.183,di,40,p,40,155.0
TimoR,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-40.wav,9.8366,di,30,p,40,155.0
TimoR,7.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-40.wav,3.4444,di,40,n,40,130.0
TimoR,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-120.wav,1.7491,di,20,n,120,135.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-60.wav,2.4523,di,30,p,60,140.0
TimoR,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-120.wav,2.0126,di,0,0,0,160.0
TimoR,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-100.wav,1.8812,di,10,n,100,140.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-120.wav,8.7226,tone,10,p,120,155.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-40.wav,5.0143,tone,10,p,40,150.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-40.wav,8.5982,tone,20,p,40,150.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-100.wav,6.4107,tone,10,p,100,155.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-60.wav,6.4303,tone,20,n,60,145.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-120.wav,2.0014,tone,40,p,120,160.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-60.wav,4.6331,tone,10,n,60,150.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-80.wav,2.0972,tone,20,n,80,145.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-40.wav,3.8942,tone,20,n,40,150.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-60.wav,1.6963,tone,30,n,60,145.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-100.wav,6.4626,tone,30,p,100,160.0
