wals code,name,value,description,latitude,longitude,genus,family
kun,Kuna,1,No tones,8.0,-77.3333333333,Kuna,Chibchan
knm,Kunama,2,Simple tone system,14.5,37.0,Kunama,Kunama
kmp,Kunimaipa,1,No tones,-8.0,146.833333333,Core Goilalan,Trans-New Guinea
krd,Kurdish (Central),1,No tones,36.0,44.0,Iranian,Indo-European
kut,Kutenai,1,No tones,49.5,-116.0,Kutenai,Kutenai
kwa,Kwaio,1,No tones,-8.95,161.0,Oceanic,Austronesian
kwk,Kwakw'ala,1,No tones,51.0,-127.0,Northern Wakashan,Wakashan
lad,Ladakhi,1,No tones,34.0,78.0,Bodic,Sino-Tibetan
lah,Lahu,3,Complex tone system,20.0,98.1666666667,Burmese-Lolo,Sino-Tibetan
lak,Lak,1,No tones,42.1666666667,47.1666666667,Lak,Nakh-Daghestanian
lkt,Lakhota,1,No tones,43.8333333333,-101.833333333,Mississippi Valley Siouan,Siouan
lkk,Lakkia,3,Complex tone system,24.0833333333,110.166666667,Kadai,Tai-Kadai
lam,Lam\'e9,3,Complex tone system,9.0,14.5,Masa,Afro-Asiatic
lan,Lango,2,Simple tone system,2.16666666667,33.0,Western Nilotic,Eastern Sudanic
lat,Latvian,2,Simple tone system,57.0,24.0,Baltic,Indo-European
lav,Lavukaleve,1,No tones,-9.08333333333,159.2,Lavukaleve,Solomons East Papuan
llm,Lelemi,2,Simple tone system,7.33333333333,0.5,Na-Togo,Niger-Congo
len,Lenakel,1,No tones,-19.45,169.25,Oceanic,Austronesian
lez,Lezgian,1,No tones,41.6666666667,47.8333333333,Lezgic,Nakh-Daghestanian
lua,Lua,3,Complex tone system,9.75,17.75,Bua,Niger-Congo
lug,Lugbara,3,Complex tone system,3.08333333333,30.9166666667,Moru-Ma'di,Central Sudanic
lui,Luise\'f1o,1,No tones,33.3333333333,-117.166666667,Northern Uto-Aztecan,Uto-Aztecan
luo,Luo,2,Simple tone system,-0.5,34.75,Western Nilotic,Eastern Sudanic
lus,Lushootseed,1,No tones,48.0,-122.0,Central Salish,Salishan
kkv,Lusi,1,No tones,-5.58333333333,149.666666667,Oceanic,Austronesian
luv,Luvale,2,Simple tone system,-12.0,22.0,Bantu,Niger-Congo
lu,L\'fc,3,Complex tone system,22.0,100.666666667,Kam-Tai,Tai-Kadai
mya,Ma'ya,3,Complex tone system,-1.25,130.916666667,South Halmahera - West New Guinea,Austronesian
maa,Maasai,2,Simple tone system,-3.0,36.0,Eastern Nilotic,Eastern Sudanic
mab,Maba,2,Simple tone system,13.75,20.8333333333,Maban,Maban
mne,Maidu (Northeast),1,No tones,40.0,-120.666666667,Maiduan,Penutian
mak,Makah,1,No tones,48.3333333333,-124.666666667,Southern Wakashan,Wakashan
mal,Malagasy,1,No tones,-20.0,47.0,Barito,Austronesian
mlk,Malakmalak,1,No tones,-13.4166666667,130.416666667,Northern Daly,Northern Daly
mla,Mambila,3,Complex tone system,6.75,11.5,Mambiloid,Niger-Congo
mnd,Mandarin,3,Complex tone system,34.0,110.0,Chinese,Sino-Tibetan
myi,Mangarrayi,1,No tones,-14.6666666667,133.5,Mangarrayi,Mangarrayi-Maran
mgg,Mangghuer,1,No tones,36.0,102.0,Mongolic,Altaic
mao,Maori,1,No tones,-40.0,176.0,Oceanic,Austronesian
map,Mapudungun,1,No tones,-38.0,-72.0,Araucanian,Araucanian
mrn,Maranao,1,No tones,7.83333333333,124.25,Greater Central Philippine,Austronesian
mku,Maranungku,1,No tones,-13.6666666667,130.0,Wagaydy,Western Daly
mrg,Margi,2,Simple tone system,11.0,13.0,Biu-Mandara,Afro-Asiatic
mar,Maricopa,1,No tones,33.1666666667,-113.166666667,Yuman,Hokan
mrd,Marind,1,No tones,-7.83333333333,140.166666667,Marind-Yaqay,Trans-New Guinea
mrt,Martuthunira,1,No tones,-20.8333333333,116.5,Western Pama-Nyungan,Pama-Nyungan
mau,Maung,1,No tones,-11.9166666667,133.5,Iwaidjan,Iwaidjan
max,Maxakal\'ed,1,No tones,-18.0,-40.0,Maxakalian,Macro-Ge
may,Maybrat,1,No tones,-1.33333333333,132.5,Maybrat,Maybrat
maz,Mazahua,2,Simple tone system,19.4166666667,-99.9166666667,Otomian,Oto-Manguean
mzc,Mazatec (Chiquihuitl\'e1n),3,Complex tone system,17.75,-96.9166666667,Popolocan,Oto-Manguean
mba,Mba,3,Complex tone system,1.0,25.0,Ubangi,Niger-Congo
mbb,Mbabaram,1,No tones,-17.1666666667,145.0,Northern Pama-Nyungan,Pama-Nyungan
mbm,Mbum,2,Simple tone system,7.75,13.1666666667,Mbumic,Niger-Congo
mei,Meithei,2,Simple tone system,24.75,94.0,Manipuri,Sino-Tibetan
mie,Mien,3,Complex tone system,25.0,111.0,Mienic,Hmong-Mien
hok,Min (Southern),3,Complex tone system,25.0,118.0,Chinese,Sino-Tibetan
mss,Miwok (Southern Sierra),1,No tones,37.5,-120.0,Miwok,Penutian
mtp,Mixe (Totontepec),1,No tones,17.25,-96.0,Mixe-Zoque,Mixe-Zoque
mxc,Mixtec (Chalcatongo),3,Complex tone system,17.05,-97.5833333333,Mixtec,Oto-Manguean
mxm,Mixtec (Molinos),3,Complex tone system,17.0,-97.5833333333,Mixtec,Oto-Manguean
