"","n_subj","tau_true","sim_n","tau_med","p_gt_star","p_lt_star"
"400",50,0.245597887823661,100,0.221543741203348,0.30625,0.69375
"401",50,0.245597887823661,101,0.301378639738189,0.8755,0.1245
"402",50,0.245597887823661,102,0.273984242329593,0.736125,0.263875
"403",50,0.245597887823661,103,0.258613461734033,0.608625,0.391375
"404",50,0.245597887823661,104,0.266717507546957,0.68375,0.31625
"405",50,0.245597887823661,105,0.266943184466528,0.67925,0.32075
"406",50,0.245597887823661,106,0.215941561394767,0.2485,0.7515
"407",50,0.245597887823661,107,0.266105325730641,0.677,0.323
"408",50,0.245597887823661,108,0.187569026761438,0.085375,0.914625
"409",50,0.245597887823661,109,0.250376711441433,0.540625,0.459375
"410",50,0.245597887823661,110,0.216691355650365,0.25075,0.74925
"411",50,0.245597887823661,111,0.196856161827265,0.135625,0.864375
"412",50,0.245597887823661,112,0.253550973743529,0.57525,0.42475
"413",50,0.245597887823661,113,0.273986037779564,0.740625,0.259375
"414",50,0.245597887823661,114,0.289298268441234,0.825125,0.174875
"415",50,0.245597887823661,115,0.209002243759339,0.184,0.816
"416",50,0.245597887823661,116,0.229859638177355,0.353875,0.646125
"417",50,0.245597887823661,117,0.233849365083635,0.40225,0.59775
"418",50,0.245597887823661,118,0.327575989861953,0.9535,0.0465
"419",50,0.245597887823661,119,0.280471021111108,0.7915,0.2085
"420",50,0.245597887823661,120,0.205148291008554,0.178625,0.821375
"421",50,0.245597887823661,121,0.167481105933689,0.03575,0.96425
"422",50,0.245597887823661,122,0.200567671692281,0.14225,0.85775
"423",50,0.245597887823661,123,0.25462730241006,0.58025,0.41975
"424",50,0.245597887823661,124,0.223820969288275,0.305625,0.694375
"425",50,0.245597887823661,125,0.256784017516668,0.597125,0.402875
"426",50,0.245597887823661,126,0.241255224164388,0.4605,0.5395
"427",50,0.245597887823661,127,0.307517328364698,0.917875,0.082125
"428",50,0.245597887823661,128,0.204155097732043,0.165875,0.834125
"429",50,0.245597887823661,129,0.23267137266091,0.388375,0.611625
"430",50,0.245597887823661,130,0.298931485420486,0.871625,0.128375
"431",50,0.245597887823661,131,0.205682394560936,0.17625,0.82375
"432",50,0.245597887823661,132,0.217492033627639,0.265875,0.734125
"433",50,0.245597887823661,133,0.212806634690613,0.237,0.763
"434",50,0.245597887823661,134,0.169457932456431,0.03675,0.96325
"435",50,0.245597887823661,135,0.261749392530378,0.644,0.356
"436",50,0.245597887823661,136,0.265188080592205,0.67575,0.32425
"437",50,0.245597887823661,137,0.182251058995801,0.073375,0.926625
"438",50,0.245597887823661,138,0.242145596950348,0.466125,0.533875
"439",50,0.245597887823661,139,0.214564674308877,0.244125,0.755875
"440",50,0.245597887823661,140,0.319264062142926,0.944875,0.055125
"441",50,0.245597887823661,141,0.252079499485075,0.556375,0.443625
"442",50,0.245597887823661,142,0.293183545572713,0.8475,0.1525
"443",50,0.245597887823661,143,0.305247859434605,0.896375,0.103625
"444",50,0.245597887823661,144,0.259355111573606,0.61675,0.38325
"445",50,0.245597887823661,145,0.182104434338874,0.066625,0.933375
"446",50,0.245597887823661,146,0.264994875979561,0.67175,0.32825
"447",50,0.245597887823661,147,0.291887970689087,0.85225,0.14775
"448",50,0.245597887823661,148,0.248189615291044,0.525,0.475
"449",50,0.245597887823661,149,0.205993239898921,0.178625,0.821375
"450",50,0.245597887823661,150,0.246357835993426,0.50825,0.49175
"451",50,0.368396831735492,1,0.261279739777654,0.645875,0.354125
"452",50,0.368396831735492,2,0.309146090721196,0.91875,0.08125
"453",50,0.368396831735492,3,0.374957540410131,0.997,0.003
"454",50,0.368396831735492,4,0.294408974500549,0.868125,0.131875
"455",50,0.368396831735492,5,0.44992813077331,1,0
"456",50,0.368396831735492,6,0.367389366717881,0.9965,0.0035
"457",50,0.368396831735492,7,0.426063044565356,1,0
"458",50,0.368396831735492,8,0.340986834612314,0.982,0.018
"459",50,0.368396831735492,9,0.316922422622438,0.945125,0.054875
"460",50,0.368396831735492,10,0.319227672955752,0.953,0.047
"461",50,0.368396831735492,11,0.345168853567096,0.985,0.015
"462",50,0.368396831735492,12,0.363226811208797,0.995875,0.004125
"463",50,0.368396831735492,13,0.417722443773762,1,0
"464",50,0.368396831735492,14,0.303136555629212,0.894,0.106
"465",50,0.368396831735492,15,0.316505752183943,0.941875,0.058125
"466",50,0.368396831735492,16,0.464560173195123,1,0
"467",50,0.368396831735492,17,0.393840344193101,0.999125,0.000875
"468",50,0.368396831735492,18,0.388087102793879,0.999125,0.000875
"469",50,0.368396831735492,19,0.363565322232905,0.9955,0.0045
"470",50,0.368396831735492,20,0.389462677167366,0.9985,0.0015
"471",50,0.368396831735492,21,0.338368308915704,0.973125,0.026875
"472",50,0.368396831735492,22,0.355058649960785,0.993375,0.006625
"473",50,0.368396831735492,23,0.526388241063665,1,0
"474",50,0.368396831735492,24,0.314863546551037,0.931125,0.068875
