"","subject_condition","sim_n","BF","subj_n"
"465","beta3","sim65",180.818181818182,50
"466","beta3","sim66",221.222222222222,50
"467","beta3","sim67",3999,50
"468","beta3","sim68",362.636363636364,50
"469","beta3","sim69",189.47619047619,50
"470","beta3","sim70",19.5655526992288,50
"471","beta3","sim71",139.350877192982,50
"472","beta3","sim72",53.7945205479452,50
"473","beta3","sim73",2665.66666666667,50
"474","beta3","sim74",Inf,50
"475","beta3","sim75",Inf,50
"476","beta3","sim76",12.9130434782609,50
"477","beta3","sim77",Inf,50
"478","beta3","sim78",Inf,50
"479","beta3","sim79",332.333333333333,50
"480","beta3","sim80",26.1186440677966,50
"481","beta3","sim81",1332.33333333333,50
"482","beta3","sim82",120.212121212121,50
"483","beta3","sim83",346.826086956522,50
"484","beta3","sim84",172.913043478261,50
"485","beta3","sim85",130.147540983607,50
"486","beta3","sim86",Inf,50
"487","beta3","sim87",Inf,50
"488","beta3","sim88",199,50
"489","beta3","sim89",169.212765957447,50
"490","beta3","sim90",155.862745098039,50
"491","beta3","sim91",227.571428571429,50
"492","beta3","sim92",3999,50
"493","beta3","sim93",147.148148148148,50
"494","beta3","sim94",134.593220338983,50
"495","beta3","sim95",3999,50
"496","beta3","sim96",1141.85714285714,50
"497","beta3","sim97",Inf,50
"498","beta3","sim98",4.46821599453178,50
"499","beta3","sim99",Inf,50
"500","beta3","sim100",7999,50
"501","beta3","sim101",443.444444444444,50
"502","beta3","sim102",12.2669983416252,50
"503","beta3","sim103",124,50
"504","beta3","sim104",5.96257615317668,50
"505","beta3","sim105",33.9344978165939,50
"506","beta3","sim106",48.079754601227,50
"507","beta3","sim107",1.298190175237,50
"508","beta3","sim108",159,50
"509","beta3","sim109",7.82028665931643,50
"510","beta3","sim110",69.1754385964912,50
"511","beta3","sim111",7999,50
"512","beta3","sim112",24,50
"513","beta3","sim113",Inf,50
"514","beta3","sim114",7.1383519837233,50
"515","beta3","sim115",10.0192837465565,50
"516","beta3","sim116",185.046511627907,50
"517","beta3","sim117",274.862068965517,50
"518","beta3","sim118",Inf,50
"519","beta3","sim119",7999,50
"520","beta3","sim120",7999,50
"521","beta3","sim121",110.111111111111,50
"522","beta3","sim122",13.2857142857143,50
"523","beta3","sim123",Inf,50
"524","beta3","sim124",Inf,50
"525","beta3","sim125",97.7654320987654,50
"526","beta3","sim126",Inf,50
"527","beta3","sim127",46.0588235294118,50
"528","beta3","sim128",3.97203231821007,50
"529","beta3","sim129",362.636363636364,50
"530","beta3","sim130",59.6060606060606,50
"531","beta3","sim131",47.4848484848485,50
"532","beta3","sim132",319,50
"533","beta3","sim133",7999,50
"534","beta3","sim134",2665.66666666667,50
"535","beta3","sim135",665.666666666667,50
"536","beta3","sim136",Inf,50
"537","beta3","sim137",Inf,50
"538","beta3","sim138",71.7272727272727,50
"539","beta3","sim139",2665.66666666667,50
"540","beta3","sim140",7999,50
"541","beta3","sim141",24.5591054313099,50
"542","beta3","sim142",Inf,50
"543","beta3","sim143",5.3391442155309,50
"544","beta3","sim144",53.421768707483,50
"545","beta3","sim145",12.6054421768707,50
"546","beta3","sim146",665.666666666667,50
"547","beta3","sim147",726.272727272727,50
"548","beta3","sim148",2.43642611683849,50
"549","beta3","sim149",7999,50
"550","beta3","sim150",9.37613488975357,50
"551","beta3","sim151",1599,50
"552","beta3","sim152",37.6473429951691,50
"553","beta3","sim153",17.1818181818182,50
"554","beta3","sim154",1332.33333333333,50
"555","beta3","sim155",19.7792207792208,50
"556","beta3","sim156",499,50
"557","beta3","sim157",346.826086956522,50
"558","beta3","sim158",46.0588235294118,50
"559","beta3","sim159",18.1387559808612,50
"560","beta3","sim160",29.4182509505703,50
